2024-03-13 11:40:22 [main] INFO  n.p.h.configserver.ConfigServerKt - Started ConfigServerKt in 2.594 seconds (process running for 3.097)
2024-03-13 11:40:29 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-13 11:40:29 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-03-13 11:40:29 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-03-13 11:40:29 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/gateway-service.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 11:40:29 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/application.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 11:40:50 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/user-service.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 11:40:50 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/application.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 11:41:03 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/catalog-service.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 11:41:03 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/application.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 14:20:20 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/gateway-service.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
