2024-03-23 16:34:33 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/application.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-23 16:34:46 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/gateway-service.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-23 16:34:46 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/application.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-23 16:44:45 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/catalog-service.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-23 16:44:45 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/application.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-23 16:48:04 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/customer-service.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-23 16:48:04 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/application.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-23 16:48:05 [http-nio-8888-exec-8] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/customer-service.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-23 16:48:05 [http-nio-8888-exec-8] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/application.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-23 16:50:29 [http-nio-8888-exec-10] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/settings-service.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-23 16:50:29 [http-nio-8888-exec-10] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/application.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-23 17:12:55 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/user-service.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-23 17:12:55 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/application.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-23 17:13:02 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/user-service.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-23 17:13:02 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/application.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
